"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 24 18:53:58 GMT 2024","Wed Apr 24 18:54:00 GMT 2024","1313","Login Test","","","","","should open landing page homepage",""
"passed","Wed Apr 24 18:54:00 GMT 2024","Wed Apr 24 18:54:02 GMT 2024","1787","Example Test Suite","","","","","should open Google homepage",""
