"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 24 18:56:07 GMT 2024","Wed Apr 24 18:56:08 GMT 2024","1424","Example Test Suite","","","","","should open Google homepage",""
"passed","Wed Apr 24 18:56:05 GMT 2024","Wed Apr 24 18:56:07 GMT 2024","1206","Login Test","","","","","should open landing page homepage",""
