"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 24 19:02:38 GMT 2024","Wed Apr 24 19:02:39 GMT 2024","1194","Example Test Suite","","","","","should open Google homepage",""
"passed","Wed Apr 24 19:02:36 GMT 2024","Wed Apr 24 19:02:37 GMT 2024","1291","Login Test","","","","","should open landing page homepage",""
